Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,120,54,Sorted ListLeft,65.0,65,65
tree,120,54,Sorted ListRight,99.0,99,99
tree,120,54,DFS,83.0,83,83
tree,125,52,Maximum Degree Greedy,53.903333333333336,53,57
tree,125,52,Greedy Independent Cover,52.0,52,52
tree,125,52,Sorted ListLeft,61.0,61,61
tree,125,52,Sorted ListRight,105.0,105,105
tree,125,52,DFS,76.0,76,76
tree,130,58,Maximum Degree Greedy,59.13333333333333,58,61
tree,130,58,Greedy Independent Cover,58.0,58,58
tree,130,58,Sorted ListLeft,68.0,68,68
tree,130,58,Sorted ListRight,113.0,113,113
tree,130,58,DFS,82.0,82,82
tree,135,58,Maximum Degree Greedy,58.71,58,61
tree,135,58,Greedy Independent Cover,58.0,58,58
tree,135,58,Sorted ListLeft,68.0,68,68
tree,135,58,Sorted ListRight,113.0,113,113
tree,135,58,DFS,87.0,87,87
tree,140,61,Maximum Degree Greedy,64.91333333333333,62,67
tree,140,61,Greedy Independent Cover,61.0,61,61
tree,140,61,Sorted ListLeft,73.0,73,73
tree,140,61,Sorted ListRight,114.0,114,114
tree,140,61,DFS,94.0,94,94
tree,145,62,Maximum Degree Greedy,64.36666666666666,62,68
tree,145,62,Greedy Independent Cover,62.0,62,62
tree,145,62,Sorted ListLeft,77.0,77,77
tree,145,62,Sorted ListRight,128.0,128,128
tree,145,62,DFS,90.0,90,90
tree,150,66,Maximum Degree Greedy,67.80666666666667,67,70
tree,150,66,Greedy Independent Cover,66.0,66,66
tree,150,66,Sorted ListLeft,76.0,76,76
tree,150,66,Sorted ListRight,126.0,126,126
tree,150,66,DFS,96.0,96,96
tree,155,65,Maximum Degree Greedy,67.52,67,69
tree,155,65,Greedy Independent Cover,65.0,65,65
tree,155,65,Sorted ListLeft,73.0,73,73
tree,155,65,Sorted ListRight,127.0,127,127
tree,155,65,DFS,93.0,93,93
tree,160,70,Maximum Degree Greedy,73.55666666666667,70,77
tree,160,70,Greedy Independent Cover,70.0,70,70
tree,160,70,Sorted ListLeft,83.0,83,83
tree,160,70,Sorted ListRight,135.0,135,135
tree,160,70,DFS,102.0,102,102
tree,165,71,Maximum Degree Greedy,72.90333333333334,71,75
tree,165,71,Greedy Independent Cover,71.0,71,71
