Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
frb,450,420,Primal Dual,442.0,442,442
frb,450,420,Primal Dual,448.0,448,448
frb,450,420,Primal Dual,448.0,448,448
frb,450,420,Primal Dual,444.0,444,444
frb,450,420,Primal Dual,446.0,446,446
