Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
anti_mdg,137,25,Sorted ListLeft,37.0,37,37
anti_mdg,137,25,Sorted ListRight,129.0,129,129
anti_mdg,137,25,DFS,49.0,49,49
anti_mdg,143,26,Maximum Degree Greedy,26.0,26,26
anti_mdg,143,26,Greedy Independent Cover,26.0,26,26
anti_mdg,143,26,Sorted ListLeft,38.0,38,38
anti_mdg,143,26,Sorted ListRight,135.0,135,135
anti_mdg,143,26,DFS,51.0,51,51
anti_mdg,149,27,Maximum Degree Greedy,27.0,27,27
anti_mdg,149,27,Greedy Independent Cover,27.0,27,27
anti_mdg,149,27,Sorted ListLeft,40.0,40,40
anti_mdg,149,27,Sorted ListRight,141.0,141,141
anti_mdg,149,27,DFS,53.0,53,53
anti_mdg,157,28,Maximum Degree Greedy,28.0,28,28
anti_mdg,157,28,Greedy Independent Cover,28.0,28,28
anti_mdg,157,28,Sorted ListLeft,41.0,41,41
anti_mdg,157,28,Sorted ListRight,148.0,148,148
anti_mdg,157,28,DFS,55.0,55,55
anti_mdg,161,29,Maximum Degree Greedy,29.0,29,29
anti_mdg,161,29,Greedy Independent Cover,29.0,29,29
anti_mdg,161,29,Sorted ListLeft,43.0,43,43
anti_mdg,161,29,Sorted ListRight,152.0,152,152
anti_mdg,161,29,DFS,57.0,57,57
anti_mdg,171,30,Maximum Degree Greedy,30.0,30,30
anti_mdg,171,30,Greedy Independent Cover,30.0,30,30
anti_mdg,171,30,Sorted ListLeft,44.0,44,44
anti_mdg,171,30,Sorted ListRight,162.0,162,162
anti_mdg,171,30,DFS,59.0,59,59
anti_mdg,175,31,Maximum Degree Greedy,31.0,31,31
anti_mdg,175,31,Greedy Independent Cover,31.0,31,31
anti_mdg,175,31,Sorted ListLeft,46.0,46,46
anti_mdg,175,31,Sorted ListRight,166.0,166,166
anti_mdg,175,31,DFS,61.0,61,61
anti_mdg,183,32,Maximum Degree Greedy,32.0,32,32
anti_mdg,183,32,Greedy Independent Cover,32.0,32,32
anti_mdg,183,32,Sorted ListLeft,47.0,47,47
anti_mdg,183,32,Sorted ListRight,173.0,173,173
anti_mdg,183,32,DFS,63.0,63,63
anti_mdg,189,33,Maximum Degree Greedy,33.0,33,33
anti_mdg,189,33,Greedy Independent Cover,33.0,33,33
anti_mdg,189,33,Sorted ListLeft,49.0,49,49
anti_mdg,189,33,Sorted ListRight,179.0,179,179
anti_mdg,189,33,DFS,65.0,65,65
anti_mdg,195,34,Maximum Degree Greedy,34.0,34,34
anti_mdg,195,34,Greedy Independent Cover,34.0,34,34
anti_mdg,195,34,Sorted ListLeft,50.0,50,50
anti_mdg,195,34,Sorted ListRight,185.0,185,185
anti_mdg,195,34,DFS,67.0,67,67
anti_mdg,201,35,Maximum Degree Greedy,35.0,35,35
anti_mdg,201,35,Greedy Independent Cover,35.0,35,35
anti_mdg,201,35,Sorted ListLeft,52.0,52,52
anti_mdg,201,35,Sorted ListRight,191.0,191,191
anti_mdg,201,35,DFS,69.0,69,69
anti_mdg,212,36,Maximum Degree Greedy,36.0,36,36
anti_mdg,212,36,Greedy Independent Cover,36.0,36,36
anti_mdg,212,36,Sorted ListLeft,53.0,53,53
anti_mdg,212,36,Sorted ListRight,201.0,201,201
anti_mdg,212,36,DFS,71.0,71,71
anti_mdg,216,37,Maximum Degree Greedy,37.0,37,37
anti_mdg,216,37,Greedy Independent Cover,37.0,37,37
anti_mdg,216,37,Sorted ListLeft,55.0,55,55
anti_mdg,216,37,Sorted ListRight,205.0,205,205
anti_mdg,216,37,DFS,73.0,73,73
anti_mdg,222,38,Maximum Degree Greedy,38.0,38,38
anti_mdg,222,38,Greedy Independent Cover,38.0,38,38
anti_mdg,222,38,Sorted ListLeft,56.0,56,56
anti_mdg,222,38,Sorted ListRight,211.0,211,211
anti_mdg,222,38,DFS,75.0,75,75
anti_mdg,228,39,Maximum Degree Greedy,39.0,39,39
anti_mdg,228,39,Greedy Independent Cover,39.0,39,39
anti_mdg,228,39,Sorted ListLeft,58.0,58,58
anti_mdg,228,39,Sorted ListRight,216.0,216,216
anti_mdg,228,39,DFS,77.0,77,77
anti_mdg,238,40,Maximum Degree Greedy,40.0,40,40
anti_mdg,238,40,Greedy Independent Cover,40.0,40,40
anti_mdg,238,40,Sorted ListLeft,59.0,59,59
anti_mdg,238,40,Sorted ListRight,226.0,226,226
anti_mdg,238,40,DFS,79.0,79,79
anti_mdg,242,41,Maximum Degree Greedy,41.0,41,41
anti_mdg,242,41,Greedy Independent Cover,41.0,41,41
anti_mdg,242,41,Sorted ListLeft,61.0,61,61
anti_mdg,242,41,Sorted ListRight,230.0,230,230
anti_mdg,242,41,DFS,81.0,81,81
anti_mdg,252,42,Maximum Degree Greedy,42.0,42,42
anti_mdg,252,42,Greedy Independent Cover,42.0,42,42
anti_mdg,252,42,Sorted ListLeft,62.0,62,62
anti_mdg,252,42,Sorted ListRight,239.0,239,239
anti_mdg,252,42,DFS,83.0,83,83
anti_mdg,256,43,Maximum Degree Greedy,43.0,43,43
anti_mdg,256,43,Greedy Independent Cover,43.0,43,43
anti_mdg,256,43,Sorted ListLeft,64.0,64,64
anti_mdg,256,43,Sorted ListRight,243.0,243,243
anti_mdg,256,43,DFS,85.0,85,85
anti_mdg,264,44,Maximum Degree Greedy,44.0,44,44
