Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,115,48,Greedy Independent Cover,48.0,48,48
tree,115,48,Sorted ListLeft,54.92,51,59
tree,115,48,Sorted ListRight,93.13333333333334,88,97
tree,115,48,DFS,70.0,70,70
tree,120,50,Maximum Degree Greedy,51.263333333333335,50,53
tree,120,50,Greedy Independent Cover,50.0,50,50
tree,120,50,Sorted ListLeft,55.99666666666667,54,59
tree,120,50,Sorted ListRight,97.69333333333333,95,102
tree,120,50,DFS,72.0,72,72
tree,125,53,Maximum Degree Greedy,53.943333333333335,53,56
tree,125,53,Greedy Independent Cover,53.0,53,53
tree,125,53,Sorted ListLeft,59.28,56,62
tree,125,53,Sorted ListRight,103.14333333333333,100,107
tree,125,53,DFS,75.0,75,75
tree,130,54,Maximum Degree Greedy,55.68333333333333,54,58
tree,130,54,Greedy Independent Cover,54.0,54,54
tree,130,54,Sorted ListLeft,61.153333333333336,56,66
tree,130,54,Sorted ListRight,105.71,100,111
tree,130,54,DFS,80.0,80,80
tree,135,58,Maximum Degree Greedy,59.79666666666667,58,62
tree,135,58,Greedy Independent Cover,58.0,58,58
tree,135,58,Sorted ListLeft,64.09666666666666,61,68
tree,135,58,Sorted ListRight,110.47666666666667,107,115
tree,135,58,DFS,83.0,83,83
tree,140,59,Maximum Degree Greedy,59.75333333333333,59,62
tree,140,59,Greedy Independent Cover,59.0,59,59
tree,140,59,Sorted ListLeft,65.65666666666667,62,70
tree,140,59,Sorted ListRight,113.91333333333333,110,119
tree,140,59,DFS,86.0,86,86
tree,145,61,Maximum Degree Greedy,64.93333333333334,63,67
tree,145,61,Greedy Independent Cover,61.0,61,61
tree,145,61,Sorted ListLeft,68.81333333333333,65,72
tree,145,61,Sorted ListRight,118.93,115,124
tree,145,61,DFS,89.0,89,89
tree,150,64,Maximum Degree Greedy,66.11,64,69
tree,150,64,Greedy Independent Cover,64.0,64,64
tree,150,64,Sorted ListLeft,72.03333333333333,68,77
tree,150,64,Sorted ListRight,122.76666666666667,117,129
tree,150,64,DFS,93.0,93,93
tree,155,68,Maximum Degree Greedy,68.62666666666667,68,71
tree,155,68,Greedy Independent Cover,68.0,68,68
tree,155,68,Sorted ListLeft,73.34,70,77
tree,155,68,Sorted ListRight,125.52333333333333,121,130
tree,155,68,DFS,96.0,96,96
tree,160,68,Maximum Degree Greedy,69.96666666666667,68,73
tree,160,68,Greedy Independent Cover,68.0,68,68
tree,160,68,Sorted ListLeft,77.78333333333333,74,81
tree,160,68,Sorted ListRight,130.21333333333334,125,136
tree,160,68,DFS,100.0,100,100
tree,165,71,Maximum Degree Greedy,72.79666666666667,71,76
tree,165,71,Greedy Independent Cover,71.0,71,71
tree,165,71,Sorted ListLeft,77.41,74,80
tree,165,71,Sorted ListRight,135.62666666666667,132,140
tree,165,71,DFS,100.0,100,100
tree,170,74,Maximum Degree Greedy,76.08333333333333,74,78
tree,170,74,Greedy Independent Cover,74.0,74,74
tree,170,74,Sorted ListLeft,82.33333333333333,79,86
tree,170,74,Sorted ListRight,141.00666666666666,137,146
tree,170,74,DFS,104.0,104,104
tree,175,74,Maximum Degree Greedy,75.88666666666667,74,79
tree,175,74,Greedy Independent Cover,74.0,74,74
tree,175,74,Sorted ListLeft,82.30666666666667,78,87
tree,175,74,Sorted ListRight,143.31,138,148
tree,175,74,DFS,107.0,107,107
tree,180,80,Maximum Degree Greedy,81.58333333333333,80,84
tree,180,80,Greedy Independent Cover,80.0,80,80
tree,180,80,Sorted ListLeft,87.05666666666667,83,91
tree,180,80,Sorted ListRight,148.09,143,154
tree,180,80,DFS,111.0,111,111
tree,185,80,Maximum Degree Greedy,82.85,81,86
tree,185,80,Greedy Independent Cover,80.0,80,80
tree,185,80,Sorted ListLeft,87.35,84,91
tree,185,80,Sorted ListRight,150.85,146,155
tree,185,80,DFS,114.0,114,114
tree,190,82,Maximum Degree Greedy,82.66,82,85
tree,190,82,Greedy Independent Cover,82.0,82,82
tree,190,82,Sorted ListLeft,90.42333333333333,85,95
tree,190,82,Sorted ListRight,155.80333333333334,150,162
tree,190,82,DFS,117.0,117,117
tree,195,85,Maximum Degree Greedy,87.72333333333333,86,91
tree,195,85,Greedy Independent Cover,85.0,85,85
tree,195,85,Sorted ListLeft,94.89666666666666,91,100
tree,195,85,Sorted ListRight,160.1,154,166
tree,195,85,DFS,122.0,122,122
tree,200,84,Maximum Degree Greedy,88.62,86,91
tree,200,84,Greedy Independent Cover,84.0,84,84
tree,200,84,Sorted ListLeft,96.72,92,103
tree,200,84,Sorted ListRight,164.15333333333334,158,169
tree,200,84,DFS,125.0,125,125
tree,205,89,Maximum Degree Greedy,91.76666666666667,89,95
tree,205,89,Greedy Independent Cover,89.0,89,89
tree,205,89,Sorted ListLeft,100.03333333333333,96,105
tree,205,89,Sorted ListRight,169.57666666666665,165,175
tree,205,89,DFS,128.0,128,128
tree,210,89,Maximum Degree Greedy,91.60333333333334,89,95
tree,210,89,Greedy Independent Cover,89.0,89,89
