Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
frb40,19,1,Maximum Degree Greedy,743.23,742,748
frb40,19,1,Greedy Independent Cover,741.0,741,741
frb40,19,1,Sorted ListLeft,759.0,759,759
frb40,19,1,Sorted ListRight,759.0,759,759
frb40,19,1,DFS,753.0,753,753
frb40,19,2,Maximum Degree Greedy,743.8766666666667,741,751
frb40,19,2,Greedy Independent Cover,741.0,741,741
frb40,19,2,Sorted ListLeft,759.0,759,759
frb40,19,2,Sorted ListRight,753.52,752,755
frb40,19,2,DFS,752.0,752,752
frb40,19,3,Maximum Degree Greedy,742.4066666666666,741,750
frb40,19,3,Greedy Independent Cover,741.0,741,741
frb40,19,3,Sorted ListLeft,757.0,757,757
frb40,19,3,Sorted ListRight,758.0,758,758
frb40,19,3,DFS,753.0,753,753
