Run Number,Solution Size,Approximation Ratio,Execution Time (s)
1,435,1.0357142857142858,0.0799112319946289
2,435,1.0357142857142858,0.07989883422851562
3,435,1.0357142857142858,0.07929611206054688
4,435,1.0357142857142858,0.07838678359985352
5,435,1.0357142857142858,0.07938170433044434
6,435,1.0357142857142858,0.0914011001586914
7,435,1.0357142857142858,0.07963228225708008
8,435,1.0357142857142858,0.07963085174560547
9,435,1.0357142857142858,0.07954692840576172
10,435,1.0357142857142858,0.07919812202453613
11,435,1.0357142857142858,0.07986688613891602
12,435,1.0357142857142858,0.07961606979370117
13,435,1.0357142857142858,0.07957077026367188
14,435,1.0357142857142858,0.07823705673217773
15,435,1.0357142857142858,0.07934689521789551
16,435,1.0357142857142858,0.07925081253051758
17,435,1.0357142857142858,0.07966899871826172
18,435,1.0357142857142858,0.07983803749084473
19,435,1.0357142857142858,0.07926511764526367
20,435,1.0357142857142858,0.07965803146362305
21,435,1.0357142857142858,0.07966113090515137
22,435,1.0357142857142858,0.07931303977966309
23,435,1.0357142857142858,0.07907819747924805
24,435,1.0357142857142858,0.0799403190612793
25,435,1.0357142857142858,0.07932209968566895
26,435,1.0357142857142858,0.0795738697052002
27,435,1.0357142857142858,0.07931995391845703
28,435,1.0357142857142858,0.08005785942077637
29,435,1.0357142857142858,0.07897496223449707
30,435,1.0357142857142858,0.07929396629333496
31,435,1.0357142857142858,0.07813501358032227
32,435,1.0357142857142858,0.07952213287353516
33,435,1.0357142857142858,0.07973217964172363
34,435,1.0357142857142858,0.0797119140625
35,435,1.0357142857142858,0.07998108863830566
36,435,1.0357142857142858,0.07961225509643555
37,435,1.0357142857142858,0.07939004898071289
38,435,1.0357142857142858,0.07955145835876465
39,435,1.0357142857142858,0.09042096138000488
40,435,1.0357142857142858,0.07868313789367676
41,435,1.0357142857142858,0.08105301856994629
42,435,1.0357142857142858,0.08101201057434082
43,435,1.0357142857142858,0.07933640480041504
44,435,1.0357142857142858,0.07956194877624512
45,435,1.0357142857142858,0.07859110832214355
46,435,1.0357142857142858,0.07940101623535156
47,435,1.0357142857142858,0.07965612411499023
48,435,1.0357142857142858,0.07992911338806152
49,435,1.0357142857142858,0.07888317108154297
50,435,1.0357142857142858,0.07920408248901367
51,435,1.0357142857142858,0.08046579360961914
52,435,1.0357142857142858,0.07962298393249512
53,435,1.0357142857142858,0.07835698127746582
54,435,1.0357142857142858,0.07908296585083008
55,435,1.0357142857142858,0.07814383506774902
56,435,1.0357142857142858,0.07901191711425781
57,435,1.0357142857142858,0.07853317260742188
58,435,1.0357142857142858,0.07962512969970703
59,435,1.0357142857142858,0.07955312728881836
60,435,1.0357142857142858,0.07956600189208984
61,435,1.0357142857142858,0.07967710494995117
62,435,1.0357142857142858,0.07951879501342773
63,435,1.0357142857142858,0.07981085777282715
64,435,1.0357142857142858,0.07961082458496094
65,435,1.0357142857142858,0.08013010025024414
66,435,1.0357142857142858,0.07943081855773926
67,435,1.0357142857142858,0.07960295677185059
68,435,1.0357142857142858,0.07918620109558105
69,435,1.0357142857142858,0.07910013198852539
70,435,1.0357142857142858,0.08695292472839355
71,435,1.0357142857142858,0.10119509696960449
72,435,1.0357142857142858,0.28168702125549316
73,435,1.0357142857142858,0.2202589511871338
74,435,1.0357142857142858,0.08306002616882324
75,435,1.0357142857142858,0.08392715454101562
76,435,1.0357142857142858,0.08006620407104492
77,435,1.0357142857142858,0.08055830001831055
78,435,1.0357142857142858,0.08002018928527832
79,435,1.0357142857142858,0.08033108711242676
80,435,1.0357142857142858,0.07927393913269043
81,435,1.0357142857142858,0.07974004745483398
82,435,1.0357142857142858,0.07985806465148926
83,435,1.0357142857142858,0.07973885536193848
84,435,1.0357142857142858,0.07987785339355469
85,435,1.0357142857142858,0.07990670204162598
86,435,1.0357142857142858,0.08019804954528809
87,435,1.0357142857142858,0.07964682579040527
88,435,1.0357142857142858,0.07968020439147949
89,435,1.0357142857142858,0.08535981178283691
90,435,1.0357142857142858,0.07997012138366699
91,435,1.0357142857142858,0.0797731876373291
92,435,1.0357142857142858,0.07990574836730957
93,435,1.0357142857142858,0.07996511459350586
94,435,1.0357142857142858,0.08265995979309082
95,435,1.0357142857142858,0.08003711700439453
96,435,1.0357142857142858,0.07896709442138672
97,435,1.0357142857142858,0.0796210765838623
98,435,1.0357142857142858,0.07961487770080566
99,435,1.0357142857142858,0.07985806465148926
100,435,1.0357142857142858,0.0800468921661377
101,435,1.0357142857142858,0.07945585250854492
102,435,1.0357142857142858,0.07887911796569824
103,435,1.0357142857142858,0.07992100715637207
104,435,1.0357142857142858,0.08007621765136719
105,435,1.0357142857142858,0.09059596061706543
106,435,1.0357142857142858,0.07970809936523438
107,435,1.0357142857142858,0.07951092720031738
108,435,1.0357142857142858,0.07930207252502441
109,435,1.0357142857142858,0.07858705520629883
110,435,1.0357142857142858,0.08031797409057617
111,435,1.0357142857142858,0.08019185066223145
112,435,1.0357142857142858,0.07869696617126465
113,435,1.0357142857142858,0.08001995086669922
114,435,1.0357142857142858,0.07985520362854004
115,435,1.0357142857142858,0.08180499076843262
116,435,1.0357142857142858,0.08067870140075684
117,435,1.0357142857142858,0.08342814445495605
118,435,1.0357142857142858,0.08000469207763672
119,435,1.0357142857142858,0.07919788360595703
120,435,1.0357142857142858,0.08056211471557617
121,435,1.0357142857142858,0.08046197891235352
