Run Number,Solution Size,Approximation Ratio,Execution Time (s)
1,435,1.0357142857142858,0.1050870418548584
2,438,1.042857142857143,0.11746096611022949
3,435,1.0357142857142858,0.10448694229125977
4,435,1.0357142857142858,0.10557007789611816
5,439,1.0452380952380953,0.10525012016296387
6,435,1.0357142857142858,0.10624098777770996
7,435,1.0357142857142858,0.10691690444946289
8,436,1.0380952380952382,0.10584282875061035
9,438,1.042857142857143,0.10739707946777344
10,435,1.0357142857142858,0.10485506057739258
11,438,1.042857142857143,0.10539126396179199
12,438,1.042857142857143,0.10442709922790527
13,437,1.0404761904761906,0.10610198974609375
14,435,1.0357142857142858,0.1049506664276123
15,435,1.0357142857142858,0.10460686683654785
16,435,1.0357142857142858,0.10459589958190918
17,435,1.0357142857142858,0.1053769588470459
18,435,1.0357142857142858,0.10524797439575195
19,435,1.0357142857142858,0.10367202758789062
20,437,1.0404761904761906,0.10544323921203613
21,435,1.0357142857142858,0.1040503978729248
22,435,1.0357142857142858,0.1037590503692627
23,435,1.0357142857142858,0.10465192794799805
24,435,1.0357142857142858,0.10544705390930176
25,439,1.0452380952380953,0.10402512550354004
26,435,1.0357142857142858,0.10466790199279785
27,435,1.0357142857142858,0.10358190536499023
28,435,1.0357142857142858,0.10544109344482422
29,435,1.0357142857142858,0.1061699390411377
30,435,1.0357142857142858,0.10487914085388184
31,435,1.0357142857142858,0.10453104972839355
32,435,1.0357142857142858,0.10461711883544922
33,439,1.0452380952380953,0.10379385948181152
34,435,1.0357142857142858,0.10484480857849121
35,435,1.0357142857142858,0.11592602729797363
36,435,1.0357142857142858,0.10499262809753418
37,437,1.0404761904761906,0.10509324073791504
38,435,1.0357142857142858,0.10522699356079102
39,435,1.0357142857142858,0.1040339469909668
40,435,1.0357142857142858,0.10576009750366211
41,435,1.0357142857142858,0.10523009300231934
42,439,1.0452380952380953,0.10505914688110352
43,435,1.0357142857142858,0.10425996780395508
44,435,1.0357142857142858,0.10489082336425781
45,438,1.042857142857143,0.10513997077941895
46,437,1.0404761904761906,0.10540914535522461
47,439,1.0452380952380953,0.10501289367675781
48,438,1.042857142857143,0.10461282730102539
49,435,1.0357142857142858,0.10631299018859863
50,435,1.0357142857142858,0.10635185241699219
51,437,1.0404761904761906,0.10646700859069824
52,438,1.042857142857143,0.10772204399108887
53,435,1.0357142857142858,0.10553598403930664
54,435,1.0357142857142858,0.10471606254577637
55,438,1.042857142857143,0.10415005683898926
56,435,1.0357142857142858,0.10489606857299805
57,435,1.0357142857142858,0.10504889488220215
58,435,1.0357142857142858,0.10630202293395996
59,435,1.0357142857142858,0.10526800155639648
60,435,1.0357142857142858,0.105194091796875
61,435,1.0357142857142858,0.10532212257385254
62,437,1.0404761904761906,0.10435605049133301
63,435,1.0357142857142858,0.10488414764404297
64,435,1.0357142857142858,0.10544323921203613
65,435,1.0357142857142858,0.10469388961791992
66,435,1.0357142857142858,0.10511112213134766
67,439,1.0452380952380953,0.10550785064697266
68,435,1.0357142857142858,0.11746406555175781
69,435,1.0357142857142858,0.10609722137451172
70,435,1.0357142857142858,0.10547804832458496
71,435,1.0357142857142858,0.10499882698059082
72,435,1.0357142857142858,0.10550928115844727
73,435,1.0357142857142858,0.10519814491271973
74,435,1.0357142857142858,0.10819792747497559
75,439,1.0452380952380953,0.10466670989990234
76,435,1.0357142857142858,0.10546875
77,435,1.0357142857142858,0.10622119903564453
78,435,1.0357142857142858,0.10499978065490723
79,437,1.0404761904761906,0.10567593574523926
80,435,1.0357142857142858,0.10584068298339844
81,435,1.0357142857142858,0.10512685775756836
82,435,1.0357142857142858,0.1234738826751709
83,435,1.0357142857142858,0.11797881126403809
