Run Number,Solution Size,Approximation Ratio,Execution Time (s)
1,1508,1.0223728813559323,1.678680181503296
2,1508,1.0223728813559323,1.6535649299621582
3,1508,1.0223728813559323,1.629822015762329
4,1509,1.0230508474576272,1.653825044631958
5,1508,1.0223728813559323,1.6519479751586914
6,1508,1.0223728813559323,1.634152889251709
7,1509,1.0230508474576272,1.7659170627593994
8,1508,1.0223728813559323,1.648751974105835
9,1508,1.0223728813559323,1.6895899772644043
10,1509,1.0230508474576272,1.6727879047393799
11,1508,1.0223728813559323,1.703657865524292
12,1509,1.0230508474576272,1.6536991596221924
13,1509,1.0230508474576272,1.641751766204834
14,1508,1.0223728813559323,1.7429776191711426
15,1508,1.0223728813559323,1.6561620235443115
16,1509,1.0230508474576272,1.6665279865264893
17,1508,1.0223728813559323,1.7026610374450684
18,1508,1.0223728813559323,1.7098090648651123
19,1508,1.0223728813559323,1.668717861175537
20,1508,1.0223728813559323,1.6478028297424316
21,1509,1.0230508474576272,1.6504368782043457
22,1508,1.0223728813559323,1.6323201656341553
23,1508,1.0223728813559323,1.6349742412567139
24,1508,1.0223728813559323,1.6327037811279297
25,1509,1.0230508474576272,1.707984209060669
26,1508,1.0223728813559323,1.638183832168579
27,1508,1.0223728813559323,1.9877350330352783
28,1508,1.0223728813559323,1.6702451705932617
29,1509,1.0230508474576272,1.6387407779693604
30,1508,1.0223728813559323,1.6308307647705078
31,1509,1.0230508474576272,1.63677978515625
32,1509,1.0230508474576272,1.6617310047149658
33,1508,1.0223728813559323,1.6267879009246826
34,1508,1.0223728813559323,1.6450130939483643
35,1508,1.0223728813559323,1.633951187133789
36,1508,1.0223728813559323,1.6849820613861084
37,1509,1.0230508474576272,1.6288189888000488
38,1508,1.0223728813559323,1.6592838764190674
39,1508,1.0223728813559323,1.8466451168060303
40,1509,1.0230508474576272,1.6465070247650146
41,1508,1.0223728813559323,1.6372168064117432
42,1508,1.0223728813559323,1.6382982730865479
43,1508,1.0223728813559323,1.7907240390777588
44,1508,1.0223728813559323,1.6458988189697266
45,1508,1.0223728813559323,1.706671953201294
46,1509,1.0230508474576272,1.6410560607910156
47,1508,1.0223728813559323,1.640054702758789
48,1508,1.0223728813559323,1.668243169784546
49,1509,1.0230508474576272,1.6739060878753662
50,1508,1.0223728813559323,1.6618597507476807
51,1508,1.0223728813559323,1.6427690982818604
52,1508,1.0223728813559323,1.6375200748443604
53,1509,1.0230508474576272,1.6446828842163086
54,1509,1.0230508474576272,1.810560941696167
55,1508,1.0223728813559323,1.7318270206451416
56,1508,1.0223728813559323,1.6592168807983398
57,1508,1.0223728813559323,1.6420140266418457
58,1508,1.0223728813559323,1.7229931354522705
59,1509,1.0230508474576272,1.6581480503082275
60,1508,1.0223728813559323,1.6553120613098145
61,1509,1.0230508474576272,1.6502211093902588
62,1508,1.0223728813559323,1.651252031326294
63,1508,1.0223728813559323,1.6881191730499268
64,1508,1.0223728813559323,1.629103660583496
65,1508,1.0223728813559323,1.649137020111084
66,1509,1.0230508474576272,1.640503168106079
67,1508,1.0223728813559323,1.6466617584228516
68,1509,1.0230508474576272,1.7003710269927979
69,1508,1.0223728813559323,1.6715209484100342
70,1508,1.0223728813559323,1.6367707252502441
71,1509,1.0230508474576272,1.6383748054504395
72,1508,1.0223728813559323,1.6990301609039307
73,1508,1.0223728813559323,1.648019790649414
74,1508,1.0223728813559323,1.646211862564087
75,1508,1.0223728813559323,1.6482961177825928
76,1508,1.0223728813559323,1.665884017944336
77,1509,1.0230508474576272,1.6421349048614502
78,1509,1.0230508474576272,1.6434271335601807
79,1509,1.0230508474576272,1.6652417182922363
80,1508,1.0223728813559323,1.658905029296875
81,1508,1.0223728813559323,1.701188087463379
82,1508,1.0223728813559323,1.647028923034668
83,1509,1.0230508474576272,1.633777141571045
84,1509,1.0230508474576272,1.6597790718078613
85,1508,1.0223728813559323,1.6418848037719727
86,1509,1.0230508474576272,1.6492640972137451
87,1509,1.0230508474576272,1.64628005027771
88,1509,1.0230508474576272,1.628222942352295
