Run Number,Solution Size,Approximation Ratio,Execution Time (s)
1,741,1.0291666666666666,0.26174378395080566
2,741,1.0291666666666666,0.2531898021697998
3,741,1.0291666666666666,0.23795390129089355
4,741,1.0291666666666666,0.2481987476348877
5,741,1.0291666666666666,0.4403371810913086
6,741,1.0291666666666666,0.24632501602172852
7,741,1.0291666666666666,0.2487189769744873
8,741,1.0291666666666666,0.4775381088256836
9,741,1.0291666666666666,0.8011329174041748
10,741,1.0291666666666666,0.9503440856933594
11,741,1.0291666666666666,0.3573789596557617
12,741,1.0291666666666666,0.2545032501220703
13,741,1.0291666666666666,0.42090392112731934
14,741,1.0291666666666666,0.33588385581970215
15,741,1.0291666666666666,0.2561159133911133
16,741,1.0291666666666666,0.2622969150543213
17,741,1.0291666666666666,0.2454671859741211
18,741,1.0291666666666666,0.24410796165466309
19,741,1.0291666666666666,0.24294710159301758
20,741,1.0291666666666666,0.34787797927856445
21,741,1.0291666666666666,0.3002431392669678
22,741,1.0291666666666666,0.24204325675964355
23,741,1.0291666666666666,0.24064207077026367
24,741,1.0291666666666666,0.24120807647705078
25,741,1.0291666666666666,0.24945497512817383
26,741,1.0291666666666666,0.2618529796600342
27,741,1.0291666666666666,0.34149599075317383
28,741,1.0291666666666666,0.24072861671447754
29,741,1.0291666666666666,0.24164199829101562
30,741,1.0291666666666666,0.244858980178833
31,741,1.0291666666666666,0.2409043312072754
32,741,1.0291666666666666,0.24413108825683594
33,741,1.0291666666666666,0.24711108207702637
34,741,1.0291666666666666,0.24711298942565918
35,741,1.0291666666666666,0.24759817123413086
36,741,1.0291666666666666,0.2427818775177002
37,741,1.0291666666666666,0.2976551055908203
38,741,1.0291666666666666,0.26198792457580566
39,741,1.0291666666666666,0.2755868434906006
40,741,1.0291666666666666,0.2737300395965576
41,741,1.0291666666666666,0.24284815788269043
42,741,1.0291666666666666,0.24334192276000977
43,741,1.0291666666666666,0.25224924087524414
44,741,1.0291666666666666,0.25566816329956055
45,741,1.0291666666666666,0.24232912063598633
46,741,1.0291666666666666,0.24362969398498535
47,741,1.0291666666666666,0.2453770637512207
48,741,1.0291666666666666,0.2421128749847412
49,741,1.0291666666666666,0.2425379753112793
50,741,1.0291666666666666,0.24223804473876953
51,741,1.0291666666666666,0.2792799472808838
52,741,1.0291666666666666,0.24264812469482422
53,741,1.0291666666666666,0.244584321975708
54,741,1.0291666666666666,0.2491750717163086
55,741,1.0291666666666666,0.24189090728759766
56,741,1.0291666666666666,0.24102020263671875
57,741,1.0291666666666666,0.2411189079284668
58,741,1.0291666666666666,0.240936279296875
59,741,1.0291666666666666,0.2562270164489746
60,741,1.0291666666666666,0.24085092544555664
61,741,1.0291666666666666,0.24248433113098145
62,741,1.0291666666666666,0.2429189682006836
63,741,1.0291666666666666,0.2677798271179199
64,741,1.0291666666666666,0.251751184463501
65,741,1.0291666666666666,0.24149584770202637
66,741,1.0291666666666666,0.24202871322631836
67,741,1.0291666666666666,0.24169707298278809
68,741,1.0291666666666666,0.24142909049987793
69,741,1.0291666666666666,0.24268174171447754
70,741,1.0291666666666666,0.242628812789917
71,741,1.0291666666666666,0.2414712905883789
72,741,1.0291666666666666,0.24149703979492188
73,741,1.0291666666666666,0.24309015274047852
74,741,1.0291666666666666,0.24145174026489258
75,741,1.0291666666666666,0.2409517765045166
76,741,1.0291666666666666,0.24102210998535156
77,741,1.0291666666666666,0.2673799991607666
78,741,1.0291666666666666,0.25487780570983887
79,741,1.0291666666666666,0.2587120532989502
80,741,1.0291666666666666,0.3893749713897705
81,741,1.0291666666666666,0.2418670654296875
82,741,1.0291666666666666,0.2849419116973877
83,741,1.0291666666666666,0.24241399765014648
84,741,1.0291666666666666,0.24180817604064941
85,741,1.0291666666666666,0.24946188926696777
86,741,1.0291666666666666,0.2421870231628418
87,741,1.0291666666666666,0.24196600914001465
88,741,1.0291666666666666,0.2425990104675293
89,741,1.0291666666666666,0.2427220344543457
90,741,1.0291666666666666,0.2416548728942871
91,741,1.0291666666666666,0.24129509925842285
92,741,1.0291666666666666,0.2414710521697998
93,741,1.0291666666666666,0.24096894264221191
94,741,1.0291666666666666,0.24112701416015625
95,741,1.0291666666666666,0.240386962890625
96,741,1.0291666666666666,0.2419300079345703
97,741,1.0291666666666666,0.2609572410583496
98,741,1.0291666666666666,0.25864505767822266
99,741,1.0291666666666666,0.7657959461212158
100,741,1.0291666666666666,0.3205130100250244
101,741,1.0291666666666666,0.27098894119262695
102,741,1.0291666666666666,0.24710297584533691
103,741,1.0291666666666666,0.24213504791259766
104,741,1.0291666666666666,0.24306082725524902
105,741,1.0291666666666666,0.2413170337677002
106,741,1.0291666666666666,0.2426738739013672
107,741,1.0291666666666666,0.24094104766845703
108,741,1.0291666666666666,0.24236798286437988
