Run Number,Solution Size,Approximation Ratio,Execution Time (s)
1,746,1.0361111111111112,0.3407762050628662
2,743,1.0319444444444446,0.36118602752685547
3,743,1.0319444444444446,0.3215458393096924
4,742,1.0305555555555554,0.32219886779785156
5,743,1.0319444444444446,0.3209567070007324
6,745,1.0347222222222223,0.32158994674682617
7,743,1.0319444444444446,0.3220069408416748
8,742,1.0305555555555554,0.32311391830444336
9,742,1.0305555555555554,0.3903839588165283
10,747,1.0375,0.358673095703125
11,743,1.0319444444444446,1.3410439491271973
12,743,1.0319444444444446,0.5653250217437744
13,742,1.0305555555555554,0.3291141986846924
14,743,1.0319444444444446,0.32678890228271484
15,743,1.0319444444444446,0.37268996238708496
16,744,1.0333333333333334,0.3348407745361328
17,743,1.0319444444444446,0.32338500022888184
18,742,1.0305555555555554,0.325793981552124
19,743,1.0319444444444446,0.3248939514160156
20,744,1.0333333333333334,0.3240969181060791
21,742,1.0305555555555554,0.32799482345581055
22,743,1.0319444444444446,0.3252439498901367
23,748,1.038888888888889,0.3283579349517822
24,744,1.0333333333333334,0.3256337642669678
25,748,1.038888888888889,0.3242790699005127
26,747,1.0375,0.32549190521240234
27,745,1.0347222222222223,0.3245561122894287
28,743,1.0319444444444446,0.3241007328033447
29,742,1.0305555555555554,0.3251619338989258
30,742,1.0305555555555554,0.3242039680480957
31,743,1.0319444444444446,0.32407188415527344
32,744,1.0333333333333334,0.32503509521484375
33,743,1.0319444444444446,0.32490992546081543
34,742,1.0305555555555554,0.3399233818054199
35,742,1.0305555555555554,0.3263401985168457
36,745,1.0347222222222223,0.325089693069458
37,742,1.0305555555555554,0.3323709964752197
38,743,1.0319444444444446,0.323915958404541
39,743,1.0319444444444446,0.32477402687072754
40,743,1.0319444444444446,0.32495737075805664
41,743,1.0319444444444446,0.32492899894714355
42,743,1.0319444444444446,0.32541608810424805
43,745,1.0347222222222223,0.324617862701416
44,744,1.0333333333333334,0.32354092597961426
45,748,1.038888888888889,0.3238189220428467
46,742,1.0305555555555554,0.32483506202697754
47,742,1.0305555555555554,0.3242659568786621
48,743,1.0319444444444446,0.3241548538208008
49,742,1.0305555555555554,0.32548999786376953
50,743,1.0319444444444446,0.3262960910797119
51,748,1.038888888888889,0.3495190143585205
52,742,1.0305555555555554,0.32681989669799805
53,742,1.0305555555555554,0.348085880279541
54,745,1.0347222222222223,0.3601670265197754
55,743,1.0319444444444446,0.33623409271240234
56,743,1.0319444444444446,0.3268609046936035
57,748,1.038888888888889,0.32439208030700684
58,743,1.0319444444444446,0.327045202255249
59,744,1.0333333333333334,0.3516271114349365
60,743,1.0319444444444446,0.34046506881713867
61,748,1.038888888888889,0.3251371383666992
62,744,1.0333333333333334,0.3244051933288574
63,748,1.038888888888889,0.32509803771972656
64,743,1.0319444444444446,0.32398509979248047
65,744,1.0333333333333334,0.3241739273071289
66,742,1.0305555555555554,0.32344484329223633
67,748,1.038888888888889,0.3245398998260498
68,745,1.0347222222222223,0.3239781856536865
69,745,1.0347222222222223,0.3241260051727295
70,742,1.0305555555555554,0.3232100009918213
71,744,1.0333333333333334,0.3234438896179199
72,745,1.0347222222222223,0.33942604064941406
73,747,1.0375,0.32427096366882324
74,744,1.0333333333333334,0.3233180046081543
75,742,1.0305555555555554,0.32473301887512207
76,743,1.0319444444444446,0.3236348628997803
77,743,1.0319444444444446,0.3234379291534424
78,742,1.0305555555555554,0.3243448734283447
79,743,1.0319444444444446,0.3232309818267822
80,743,1.0319444444444446,0.3232450485229492
81,743,1.0319444444444446,0.3228297233581543
82,743,1.0319444444444446,0.3233602046966553
83,743,1.0319444444444446,0.3232898712158203
84,747,1.0375,0.3233060836791992
85,743,1.0319444444444446,0.3222320079803467
86,745,1.0347222222222223,0.322721004486084
87,745,1.0347222222222223,0.32325196266174316
88,743,1.0319444444444446,0.32401418685913086
89,743,1.0319444444444446,0.322037935256958
90,746,1.0361111111111112,0.3231348991394043
91,743,1.0319444444444446,0.34172511100769043
92,742,1.0305555555555554,0.32413291931152344
93,747,1.0375,0.32351112365722656
94,746,1.0361111111111112,0.324429988861084
95,742,1.0305555555555554,0.3229238986968994
96,746,1.0361111111111112,0.3231170177459717
97,742,1.0305555555555554,0.3231382369995117
98,747,1.0375,0.32512593269348145
99,743,1.0319444444444446,0.3223757743835449
100,743,1.0319444444444446,0.3226628303527832
101,743,1.0319444444444446,0.3233449459075928
102,742,1.0305555555555554,0.3234438896179199
103,743,1.0319444444444446,0.3341250419616699
104,742,1.0305555555555554,0.32359790802001953
105,743,1.0319444444444446,0.323148250579834
106,743,1.0319444444444446,0.3239469528198242
107,743,1.0319444444444446,0.3237009048461914
108,743,1.0319444444444446,0.322415828704834
109,743,1.0319444444444446,0.3228030204772949
110,742,1.0305555555555554,0.3806438446044922
111,743,1.0319444444444446,0.41032981872558594
112,745,1.0347222222222223,0.32343387603759766
113,743,1.0319444444444446,0.4215528964996338
114,748,1.038888888888889,0.3241250514984131
115,745,1.0347222222222223,0.32389402389526367
116,743,1.0319444444444446,0.3235328197479248
117,743,1.0319444444444446,0.32266688346862793
118,744,1.0333333333333334,0.3233158588409424
